Item,Description,Quantity,Item Total Price + Tax,Supplier,URL
7.5-Inch Touch E-Paper E-Ink Display,Display,1,$57.00,Goodisplay,https://buy-lcd.com/products/gdey075t7-t01
ESP32-S3-WROOM-1-N16R8,MCU,1,$8.54,Digikey,https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089
12-pin 2.5mm pitch JST-XH Horizontal Through-Hole Connector,Display connector to PCB from HAT,1,$0.69,Digikey,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/S12B-XH-A/1651019
EC11 Switch Rotary Encoder,Rotary Encoder,1,$3.04,Digikey,https://www.digikey.ca/en/products/detail/bourns-inc/PEC11R-4220F-S0024/4499660
SPDT Latching Push Switch,Power button,1,$9.51,Amazon,https://www.amazon.ca/Gebildet-Stainless-Latching-12V-24V-Waterproof/dp/B07P7SXCP3/ref=sr_1_5?crid=36MVVHIDQ0JHS&s=industrial&sprefix=spdt%2Bbutton%2Cindustrial%2C111&sr=1-5&xpid=GYvuYcdKQketm&th=1
Custom PCB Printing,Backend PCB,1,$9.94,JLCPCB,https://ibb.co/8nVgBxCD
DESPI-C02 E-Ink Display HAT,Display adapter,1,$20.82,Goodisplay,https://www.good-display.com/product/516.html
CNC for weight,Weight stem,1,$79.50,PcbWay,https://postimg.cc/TywTsFk9
Digikey - FedEx International Priority,Shipping,1,$10.73,Digikey + FedEx,https://ibb.co/r2qRh172
JLC Product Shipping,Shipping,1,$10.63,JLCPCB,https://ibb.co/3Y4qh31H
6-Pin FPC Breakout Board,Amazon,1,$8.88,Amazon,https://www.amazon.ca/uxcell-Converter-Couple-Extend-Adapter/dp/B07RWRK4WX
Printing Legion 3DP Fee,3D Printing fee,1,$20,Hack Club,N/A
USB-C 12-Pin SMD,USB-C,1,$1.77,Digikey,https://www.digikey.ca/en/products/detail/on-shore-technology-inc/USB-CB16HTBTR/18649611
5.2kΩ Resistor,Resistor type 1,2,$0.36,Digikey,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265
10uF Capacitor,Capacitor,2,$8.59,Digikey,https://www.digikey.ca/en/products/detail/vishay-beyschlag-draloric-bc-components/MAL202138109E3/262969
4.7kΩ Resistor,Resistor type 2,2,$0.36,Digikey,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265
AMS1117-3.3 Voltage Regulator,3.3V Voltage Regulator,1,$0.53,Digikey,https://www.digikey.ca/en/products/detail/umw/AMS1117-3-3/17635254
1569-22-1-0500-001-1-TS,Wire,5 Feet,$4.28,Digikey,https://www.digikey.ca/en/products/detail/cnc-tech/1569-22-1-0500-001-1-TS/7065706
Laser-Cuttable Rubber Stamp Sheet,Rubber Sheet,1,$13.51,Amazon,https://www.amazon.ca/Frddiud-Rubber-Engraving-Machine-Supplies/dp/B0CC4PDZPF/ref=sr_1_7?sr=8-7&th=1
Total:,$268.69,,,,
